id_post,data,text,likes,text_preprocessed
480626,1713479100,"Заходи отец к сыну в комнату. Не видя серёжку на ухе говорит: 
— Блять, и не поебаться, и на корабле не поплавать!",792,заходить отец сын комната видеть серёжка уха говорить — блядь поебаться корабль поплавать
480624,1713471900,"Заходит как-то пожилой еврей Гольдман в публичный дом. Перед ним выстраиваются проститутки. Он им говорит: 
— Я возьму ту, которая умеет это делать по-еврейски. 
 
Дамы переглядываются между собой — никто не знает, как это. 
 
— По-еврейски мы не умеем, — говорят. — Слышали про множество видов секса: по-немецки, по-эстонски и даже по-голландски, но про такое — ни разу. 
— Таки ладно, тогда я пошёл… 
Тут одна из проституток говорит: 
— Погодите! Я умею по-еврейски. 
 
Гольдман берёт её, они идут в отдельную комнату. Там она признаётся: 
— На самом деле я не умею по-еврейски. Я так сказала, чтобы заполучить клиента. Поймите, ведь сейчас такое непростое время... Давайте я сделаю это с вами за полцены и всё? 
— Ну вот, а говорила, что не умеешь...",575,заходить как-то пожилой еврей гольдман публичный дом выстраиваться проститутка говорить — взять тот который уметь это делать по-еврейски дама переглядываться себя — никто знать это — по-еврейски уметь — говорить — слышать множество вид секс по-немецки по-эстонски по-голландски такой — раз — таки ладный пошёл… один проститутка говорить — погодить уметь по-еврейски гольдман брать её идти отдельный комната признаваться — сам дело уметь по-еврейски сказать заполучить клиент понять такой непростой время ... давать сделать это вы полцена всё — говорить уметь ...
480608,1713464700,"Подходит Мальчик-с-пальчик к Дюймовочке и спрашивает:
- Что, тоже колдуна на хуй послала?",1061,подходить мальчик-с-пальчик дюймовочка спрашивать колдун хуй послать
480606,1713457500,"Идут по лесу Белоснежка, Дюймовочка и поляк. Идут и хвастаются:
-Я самая красивая, говорит Белоснежка.
-Я самая маленькая, говорит Дюймовочка.
-Nigdy w życiu nie widziałem bobra, говорит поляк.
Видят на дороге дом правды и заходят в него по очереди. Выбегает Белоснежка вся в слезах, и говорит:
- Я не самая красивая, самая красивая спящая красавица!!
Выходит расстроенная Дюймовочка и говорит:
-Я не самая маленькая, самый маленький мальчик с пальчик.
Выходит поляк и орет:
-Bóbr, kurwa! Ja pierdolę, jakie bydlę! Bóbr! Ej, kurwa, bóbr! Bóbr, nie spierdalaj, mordo! Chodź tu, kurwa, do mnie, bóbr! Ale jesteś, kurwa, duży ty! Bóbr! Ja pierdolę, pierwszy raz w życiu widzę bobra! Jakie bydlę jebane, spierdolił do wody i się utopił!",323,идти лес белоснежок дюймовочка поляк идти хвастаться -я самый красивый говорить белоснежок -я самый маленький говорить дюймовочка -nigdy w życiu nie widziałem bobra говорить поляк видеть дорога дом правда заходить очередь выбегать белоснежок весь слеза говорить самый красивый самый красивый спать красавица выходить расстроить дюймовочка говорить -я самый маленький самый маленький мальчик пальчик выходить поляк орать -bóbr kurwa ja pierdolę jakie bydlę bóbr ej kurwa bóbr bóbr nie spierdalaj mordo chodź tu kurwa do mnie bóbr ale jesteś kurwa duży ty bóbr ja pierdolę pierwszy raz w życiu widzę bobra jakie bydlę jebane spierdolił do wody i się utopił
480604,1713453300,"Весенний призыв начался! Хочешь заключить договор с ПризываНет?

23 апреля разыграем 6 договоров! С победителями компания будет работать абсолютно бесплатно!

Для участия просто перейди по ссылке и заполни форму - 
https://vk.com/app6013442_-11349227?form_id=111#form_id=111",0,весенний призыв начаться хотеть заключить договор призывануть 23 апрель разыграть 6 договор победитель компания работать абсолютно бесплатно участие просто перейти ссылка заполнить форма https //vk.com/app6013442_-11349227 form_id=111 form_id=111
480602,1713450300,"У Дио не было часов, поэтому таймстоп длился ровно 2 крысиных оргазма",840,дио час поэтому таймстоп длиться ровно 2 крысиный оргазм
480599,1713443100,"""Дополнительные сюжетные линии появляются после использования"" - прокомментировал производитель",312,`` дополнительный сюжетный линия появляться использование '' прокомментировать производитель
480594,1713435900,"""Василий Иванович, а что такое кругозор?""",1050,`` василий иванович такой кругозор ''
480577,1713421500,"Рассказывает дед внуку про войну:
— Захватили в плен немцы, и говорят: сосите или расстреляем!
— Дед, и ты сосал?!
— Нет, вышел рядовой Табуретка и разрулил ситуацию.",486,рассказывать дед внук война — захватить плен немец говорить сосать расстрелять — дед сосать — выйти рядовой табуретка разрулить ситуация
480572,1713414300,Поклонники юморесок позвонили по номеру прачечной. Ответ их удивил,844,поклонник юмореска позвонить номер прачечная ответ удивить
480570,1713407100,"Попали как-то Петька и Василий Иваныч к тайскому гипнотизёру:
-Вот смотри, Петька, я в трансе и ты в трансе, но есть один нюанс.",1047,попасть как-то петька василий иванович тайский гипнотизёр -вота смотреть петька транс транс нюанс
480567,1713399900,"Уплетает как-то мужик пельмени и приговаривает:
— Вот видите, как плохо, что жена мало виагры насыпала!",552,уплетать как-то мужик пельмень приговаривать — видеть плохо жена мало виагра насыпать
480566,1713392700,"Англия. Купе поезда. Входит проводник и обращается к пассажирке:
- Мадам, закройте, пожалуйста, окно.
- Сэр, у меня очень маленькая щелочка.
- Мадам, передайте поздравления вашему мужу, но окно все равно придется закрыть.",456,англия купе поезд входить проводник обращаться пассажирка мадам закрыть пожалуйста окно сэр очень маленький щёлочка мадам передать поздравление ваш муж окно равно прийтись закрыть
480557,1713385500,"Вы не представляете, товарищ следователь...",783,представлять товарищ следователь ...
480537,1713378300,"На собеседовании: 
- Какой ваш главный недостаток? 
- Честность 
- Это скорее преимущество чем недостаток 
- Да мне вобще похуй что вы там думаете",534,собеседование ваш главный недостаток честность это скорее преимущество недостаток вобщий похуй думать
480535,1713371100,"- Тебя как зовут? 
- Если в моём имени изменить первую букву, то получится название мужского полового органа. 
- Денис? 
- BAGINA XDDDDDD",395,звать мой имя изменить первый буква получиться название мужской половой орган денис bagina xdddddd
480528,1713363900,Дурак твоя дедка,855,дурак твой дедка
480522,1713356700,"Я регулярно захожу на авито, и каждый раз спрашиваю мужика, отдаст ли он мне за 45. Каждый раз мне отвечают, нет. Я спрашивал уже раз 150 и 150 раз мне ответили нет. Смысл в том, что отвечает мне один и тот же продавец, отвечает с неизменной пунктуацией. А я каждый раз с неизменной пунктуацией спрашиваю: 
— 45 отдадите? 
— Нет. 
— давайте 45? 
— нет. 
— Может за 45 отдадите? 
— Нет, за 45 нет. 
— Я бы хотел купить за 45? 
— Извините, но за 45 нет. 
— На какую цену можно снизить? Может до 45? 
— Я никогда не отдам за 45. 
И ведь этот продавец, зараза, знает идеально мой аккаунт, знает, что я спрошу и знает, что он мне ответит. Но ещё ни разу ни один из нас ни точкой, ни словом не показал, что каждый из нас знает сценарий. Бывает, продавец офлайн, когда я захожу на сайт, тогда я подсматриваю за его страничкой сквозь свой монитор, он равнодушно появляется в сети открывается личка и он возвращается за свой комп: 
— Что вы хотели? 
— За 45 отдадите? 
— нет. 
— Жаль. 
Иногда он общается с другим клиентом, тогда, стоя за компом я жду когда он ответит и мне: 
— 45 отдадите? 
— Нет, за 45 не отдам. 
Иногда он просто скучает за своим компом, когда в личке никого нет, и только я сёрфлю по сайту. Конечно, он знает, что будет дальше, но не подаёт виду и равнодушно берёт журнал. 
— Что–то я не вижу что бы цена была 45? 
— Нет, не бывает, за 45 не отдаю. 
Это очень суровое, по–настоящему мужское противостояние, исход которого неясен. Очевидно, что каждая сторона рассчитывает на победу. Впрочем, я уже согласен на 47.",305,регулярно заходить авить каждый спрашивать мужик отдать 45 каждый отвечать спрашивать 150 150 ответить смысл отвечать продавец отвечать неизменный пунктуация каждый неизменный пунктуация спрашивать — 45 отдать — — давать 45 — — 45 отдать — 45 — хотеть купить 45 — извинить 45 — какой цена снизить 45 — отдать 45 продавец зараза знать идеально аккаунт знать спросить знать ответить ещё раз точка слово показать каждый знать сценарий бывать продавец офлайн заходить сайт подсматривать страничка сквозь свой монитор равнодушно появляться сеть открываться личка возвращаться свой комп — хотеть — 45 отдать — — жаль общаться другой клиент стоя комп ждать ответить — 45 отдать — 45 отдать просто скучать свой комп личка никто сёрфить сайт знать далёкий подавать вид равнодушно брать журнал — что–тый видеть цена 45 — бывать 45 отдавать это очень суровый по–настоящий мужской противостояние исход который неясный очевидный каждый сторона рассчитывать победа согласный 47
480513,1713342300,"Бывший тракторист Аркадий
Gender поменял некстати
Он теперь доярка Лена
Да с нюансом по колено",533,бывший тракторист аркадий gender поменять некстати доярка лена нюанс колено
480506,1713335100,"Как называется женщина, которая совращает 29-летних девственников?
.
.
.
.
.
.
Антимаг",2108,называться женщина который совращать 29-летний девственник антимаг
480503,1713327900,"У кока не было свиньи, поэтому суп на корабле варился ровно два часа",628,кока свинья поэтому суп корабль вариться ровно час
480500,1713313500,"У журналиста в Ираке спрашивают:
- Как вы относитесь к данному закону?
- Просто слов нет",459,журналист ирак спрашивать относиться дать закон просто слово
480496,1713306300,"Встречаются русский владелец квест-рума и американский. Решили сравнить у кого страшнее квест.
Русский заходит в американский: там мумии, скелеты всякие, в общем, всё как обычно.
Заходит американец в русский: длинный коридор без света, идет, идет американец страшно ему уже, долго идет. Увидел свет. Идет дальше, видит сидит грузин со свечкой.
Грузин американца спрашивает:
- Ты попу мыл?
- Мыл
Грузин гасит свечку...",429,встречаться русский владелец квест-рум американский решить сравнить кто страшный квест русский заходить американский мумия скелет всякий общий всё обычно заходить американец русский длинный коридор свет идти идти американец страшно долго идти увидеть свет идти далёкий видеть сидеть грузин свечка грузин американец спрашивать поп мыло мыло грузин гасить свечка ...
480488,1713299100,"— Алло, это бордель? 
— Да 
— Пизда 
— 4.000",1165,— алло это бордель — — пизда — 4.000
480471,1713291900,"Пушкин и Лермонтов пришли на бал. Сидят там и арбузы кушают. Лермонтов как ломоть съест - корку тут же Пушкину подложит. Потом и заявляет: ""Господа! Вы посмотрите, каков Пушкин обжора! Вон сколько у него корок!"" А Пушкин отвечает: ""Господа! Вы гляньте, каков обжора Лермонтов! Я его мать ебу, а он всё хавает!""",452,пушкин лермонтов прислать бал сидеть арбуз кушать лермонтов ломоть съесть корка пушкин подложить заявлять `` господин посмотреть каковой пушкин обжора вон сколько корка '' пушкин отвечать `` господин глянуть каковой обжора лермонтов мать ебу всё хаваета ''
480465,1713284700,"Иду с работы. Вспомнил, что жена просила забрать из ремонта будильник. Пошел — забрал. Иду дальше, вспомнил, что дома спичек нет — зашел в магазин, а там маленьких коробков нет, только хозяйственные — большие (по 1000), ну ладно — купил. Уже около дома подходит мужик и говорит: — Прикурить не найдется? Достаю громадную коробку — мужик, ухмыльнувшись, прикуривает. Затянулся, и спрашивает: — А время не подскажешь? И тут я ДОСТАЮ говно из штанов и размазываю себе по лицу!!!!😅",369,идти работа вспомнить жена просить забрать ремонт будильник пойти — забрать идти далёкий вспомнить дом спичка — зайти магазин маленький коробок хозяйственный — больший 1000 ладный — купить около дом подходить мужик говорить — прикурить найтись доставать громадный коробка — мужик ухмыльнуться прикуривать затянуться спрашивать — время подсказать доставать говно штаны размазывать лицо 😅
480459,1713277500,"Парень во время кинофестиваля познакомился с девушкой - испанкой и 
пригласил ее вечером к себе домой в гости. Днем он прибегает к своему 
другу - врачу: 
- Понимаешь, я вечером испанку в гости пригласил, а ты знаешь - там 
такие знойные женщины... Ну, в
 общем, дал бы ты 
мне чего-нибудь такого, 
чтобы мне перед ней
 не осрамиться. 
Врач-приятель
 прописал ему
 таблетки,
 парень
 их принял,
 как
 бы
ло 
что
с
ане
к
д
от
о
м
б
л",252,парень время кинофестиваль познакомиться девушка испанка пригласить вечером домой гость день прибегать свой друг врач понимать вечером испанка гость пригласить знать такой знойный женщина ... общий дать что-нибудь такой осрамиться врач-приятель прописать таблетка парень принять ло ана далее м б л
480455,1713270300,"Парень с девушкой приходят после свидания к нему домой. Он достает ключи, а девушка ему говорит: 
— Ты знаешь, я смотрю как мужчина открывает дверь и определяю, подходим ли мы друг другу... Если он грубо втыкает ключ в дверь — он грубый любовник и он не для меня, а если он роняет ключи и не может найти замочную скважину, он неопытный любовник и он тоже не для меня... А вот как ты открываешь дверь, милый? 
Парень: 
—",168,парень девушка приходить свидание он домой доставать ключ девушка говорить — знать смотреть мужчина открывать дверь определять подходить друг друг ... грубо втыкать ключ дверь — грубый любовник ронять ключ найти замочный скважина неопытный любовник ... открывать дверь милый парень —
480452,1713263100,"— На что жалуетесь? 
— У меня член как бешеный конь. 
— Ого, и что же в этом плохого? 
— Он не стоит ни секунды",731,— жаловаться — член бешеный конь — ого плохой — стоить секунда
480447,1713255900,"— Я им повторяю по двадцать раз одно и то же, а эти идиоты сидят со стеклянными глазами, и я вижу, что ничего они не понимают и не собираются понимать! 
— Да у меня на работе то же самое... 
— Вы тоже преподаете? 
— Нет, я бармен",487,— повторять двадцать один идиот сидеть стеклянный глаз видеть понимать собираться понимать — работа самый ... — преподавать — бармен
480445,1713248700,"Звонок в 2 часа ночи к ветеринару: 
— Алло, ветеринар? 
— Да! У вас что-нибудь срочное? 
— Конечно! Тут на крыше кот трахает кошку и жутко мяукает — невозможно спать! 
— Пригласите кота к телефону! 
— Вы думаете, он от этого прекратит трахать кошку? 
— Ну я же прекратил",625,звонок 2 час ночь ветеринар — алло ветеринар — что-нибудь срочный — крыша кот трахать кошка жутко мяукать — невозможно спать — пригласить кот телефон — думать прекратить трахать кошка — прекратить
480443,1713245100,"- Пап, а почему мою сестру зовут роза? 
- Потому что твоя мама любит розы 
- А что насчёт меня? 
- Хватит вопросов, Хентай голые японки тентакли без цензуры смотреть онлайн без регистрации... 

🌙🌙🌙 

-Опишите свою учёбу персонажем из аниме. 
-Девятихвостый лис.

🌙🌙🌙 
 
Один парень научился дышать попой, пришел на аниме пати и задохнулся

🌙🌙🌙 
 
– Летишь на парашюте: слева канава хуёв, справа море аниме. Вопрос:""Куда сядешь, куда мать посадишь?"" 
– Море на аву, маму в канаву

🌙🌙🌙

Встретились три анимешника. Пьют пиво и делятся впечатлениями: 
1: - я работал переводчиком, я переводил АНИМЕ! 
все: - ООО! АНИМЕЕЕ! 
2: - я работал продавцом, я продавал АНИМЕ! 
все: - ООО! АНИМЕЕЕ! 
3: - а я юрист! 
все: - ООО! ЮРИИИИИИИ!

🌙🌙🌙 
 
Феминистка - до первого достойного мужчины. 
Коммунист - до первого личного капитала. 
Аниме хейтер - до первого достойного мужчины.

************* 
 
https://vk.cc/cwdfLc коллекция ""Ахегао""
https://vk.cc/aBfUSk коллекция ""Аниме""

https://vk.cc/cw5rg8 - полный каталог

Скидка по промокоду JUMORESKI",29,папа почему мой сестра звать роза твой мама любить роза насчёт хватить вопрос хентай голый японка тентакли цензура смотреть онлайн регистрация ... 🌙🌙🌙 -описать учёба персонаж аниме -девятихвостый лис 🌙🌙🌙 парень научиться дышать попа прийти аниме пати задохнуться 🌙🌙🌙 – лететь парашют слева канава хуёв справа море аниме вопрос '' сесть мать посадить '' – море ава мама канава 🌙🌙🌙 встретиться анимешник пить пиво делиться впечатление 1 работать переводчик переводить аниме ооо анимеий 2 работать продавец продавать аниме ооо анимеий 3 юрист ооо юриииииия 🌙🌙🌙 феминистка первый достойный мужчина коммунист первый личный капитал аниме хейтереть первый достойный мужчина https //vk.cc/cwdflc коллекция `` ахегао '' https //vk.cc/abfusk коллекция `` аниме '' https //vk.cc/cw5rg8 полный каталог скидка промокод jumoreski
480441,1713241500,"— Я узнал, что моя жена бисексуальна, - говорит один джентльмен другому. 
— Боже мой, это ужасно! Я бы такого не выдержал. Секс с женщиной два раза в год!",440,— узнать жена бисексуальный говорить джентльмен другой — бог это ужасно такой выдержать секс женщина раз год
480439,1713234300,"- Ватсон, есть две новости: одна хорошая, вторая с нюансом. 
- Какая хорошая? 
- К нам едут две леди. 
- А какая с нюансом? 
- Обе с нюансом.",1528,ватсон два новость один хороший второй нюанс хороший мы ехать два леди нюанс оба нюанс
480438,1713227100,"— Можешь кончить в меня, я пью таблетки 
— Можешь тоже кончить в меня, я смотрю аниме",721,— мочь кончить пить таблетка — мочь кончить смотреть аниме
480437,1713219900,"Король Артур готовился пойти в поход, но волновался о том, что он оставляет королеву Женевьеву наедине с рыцарями круглого стола.
Поэтому король пошел к волшебнику Мерлину за советом. После того, как король объяснил свою проблему Мерлину, волшебник подумал немного и попросил короля вернуться через неделю. На следующей неделе король вернулся к Мерлину, чтобы посмотреть, что же он придумал. Пояс Целомудрия... но он имел большую дыру в самом очевидном месте.
""Это плохо"", - сказал король. ""Посмотри на это отверстие, как оно может защитить королеву?"" ""О, сэр, вы только посмотрите"", - сказал Мерлин и достал свой старый жезл, который собирался выбросить. Затем волшебник вставил его в дыру в Поясе Целомудрия, после чего опустилось лезвие гильотины и аккуратно разрезало жезл на две половины. ""Мерлин, ты гений! Теперь я могу ехать, зная, что моя королева надежно защищена"".
Одев на королеву Пояс Целомудрия, король Артур уехал в поход.
Несколько лет спустя король вернулся в Камелот. Он немедленно собрал всех рыцарей Круглого Стола во внутреннем дворе и приказал им снять трусы для проверки. Естественно, каждый рыцарь был более или менее поврежден. Кроме рыцаря Галахада. ""Сэр Галахад, вы единственный истинный рыцарь, чем я могу вас наградить? Назовите свою награду и она будет вашей"", - сказал король.
Но Галахад был нем.",418,король артур готовиться пойти поход волноваться оставлять королева женевьев наедине рыцарь круглый стол поэтому король пойти волшебник мерлина совет король объяснить проблема мерлина волшебник подумать немного попросить король вернуться неделя следующий неделя король вернуться мерлина посмотреть придумать пояс целомудрие ... иметь больший дыра сам очевидный место `` это плохо '' сказать король `` посмотреть это отверстие оно защитить королева '' `` сэр посмотреть '' сказать мерлина достать свой старый жезл который собираться выбросить затем волшебник вставить дыра пояс целомудрие опуститься лезвие гильотина аккуратно разрезать жезл два половина `` мерлина гений мочь ехать знать королева надёжно защитить '' одеть королева пояс целомудрие король артур уехать поход несколько год спустя король вернуться камелот немедленно собрать рыцарь круглый стол внутренний двор приказать снять трус проверка естественно каждый рыцарь менее повредить кроме рыцарь галахад `` сэр галахад единственный истинный рыцарь мочь наградить назвать награда ваш '' сказать король галахад немой
